аэропорты; аэропОрты; аэропортЫ; аэрОпорты; аЭропорты; отсутствует
банты; бАнты; бантЫ; -; -; отсутствует
бороду; бОроду; борОду; бородУ; -; отсутствует
бухгалтеров; бухгАлтеров; бухгалтЕров; бухгалтерОв; бУхгалтеров; отсутствует
вероисповедание; вероисповЕдание; вероисповедАние; вероИсповедание; врОисповедание; отсутствует
водопровод; водопровОд; водопрОвод; водОпровод; вОдопровод; отсутствует
газопровод; газопровОд; газопрОвод; газОпровод; гАзопровод; отсутствует
гражданство; граждАнство; грАжданство; гражданствО; -; отсутствует
дефис; дефИс; дЕфис; -; -; отсутствует
дешевизна; дешевИзна; дешевизнА; дешЕвизна; дЕшевизна; отсутствует
диспансер; диспансЕр; диспАнсер; дИспансер; -; отсутствует
договорённость; договорЁнность; договорённОсть; договОрённость; догОворённость; отсутствует
документ; докумЕнт; докУмент; дОкумент; -; отсутствует
досуг; досУг; дОсуг; -; -; отсутствует
еретик; еретИк; ерЕтик; Еретик; -; отсутствует
жалюзи; жалюзИ; жалЮзи; жАлюзи; -; отсутствует
значимость; знАчимость; значИмость; значимОсть; -; отсутствует
иксы; Иксы; иксЫ; -; -; отсутствует
каталог; каталОг; катАлог; кАталог; -; отсутствует
квартал; квартАл; квАртал; -; -; отсутствует
километр; киломЕтр; килОметр; кИлометр; -; отсутствует
конусов; кОнусов; конУсов; конусОв; -; отсутствует
корысть; корЫсть; кОрысть; -; -; отсутствует
краны; крАны; кранЫ; -; -; отсутствует
кремень; кремЕнь; крЕмень; -; -; отсутствует
кремня; кремнЯ; крЕмня; -; -; отсутствует
лекторов; лЕкторов; лектОров; лекторОв; -; отсутствует
локтя; лОктя; локтЯ; -; -; отсутствует
локтей; локтЕй; лОктей; -; -; отсутствует
лыжня; лыжнЯ; лЫжня; -; -; отсутствует
местностей; мЕстностей; местнОстей; местностЕй; -; отсутствует
намерение; намЕрение; намерЕние; намеренИе; нАмерение; отсутствует
нарост; нарОст; нАрост; -; -; отсутствует
недруг; нЕдруг; недрУг; -; -; отсутствует
недуг; недУг; нЕдуг; -; -; отсутствует
некролог; некролОг; некрОлог; нЕкролог; -; отсутствует
ненависть; нЕнависть; ненАвисть; ненавИсть; -; отсутствует
нефтепровод; нефтепровОд; нефтепрОвод; нефтЕпровод; нЕфтепровод; отсутствует
новостей; новостЕй; новОстей; нОвостей; -; отсутствует
ногтя; нОгтя; ногтЯ; -; -; отсутствует
ногтей; ногтЕй; нОгтей; -; -; отсутствует
отзыв; Отзыв; отзЫв; -; -; чужое мнение о товаре или услуге
отзыв; отзЫв; Отзыв; -; -; однокоренные слова: отзывать, отозвать и т.д.
отрочество; Отрочество; отрОчество; отрочЕство; отрочествО; отсутствует
партер; партЕр; пАртер; -; -; отсутствует
портфель; портфЕль; пОртфель; -; -; отсутствует
поручни; пОручни; порУчни; поручнИ; -; отсутствует
приданое; придАное; прИданое; приданОе; приданоЕ; отсутствует
призыв; призЫв; прИзыв; -; -; отсутствует
свекла; свЁкла; свеклА; -; -; отсутствует
сироты; сирОты; сИроты; сиротЫ; -; отсутствует
созыв; созЫв; сОзыв; -; -; отсутствует
сосредоточение; сосредотОчение; сОсредоточение; сосрЕдоточение; сосредоточЕние; отсутствует
средства; срЕдства; средствА; -; -; отсутствует
статуя; стАтуя; статУя; статуЯ; -; отсутствует
столяр; столЯр; стОляр; -; -; отсутствует
таможня; тамОжня; тАможня; таможнЯ; -; отсутствует
торты; тОрты; тортЫ; -; -; отсутствует
туфля; тУфля; туфлЯ; -; -; отсутствует
цемент; цемЕнт; цЕмент; -; -; отсутствует
центнер; цЕнтнер; центнЕр; -; -; отсутствует
цепочка; цепОчка; цЕпочка; цепочкА; -; отсутствует
шарфы; шАрфы; шарфЫ; -; -; отсутствует
шофёр; шофЁр; шОфёр; -; -; отсутствует
эксперт; экспЕрт; Эксперт; -; -; отсутствует
верна; вернА; вЕрна; -; -; отсутствует
значимый; знАчимый; значИмый; значимЫй; -; отсутствует
красивее; красИвее; красивЕе; красивеЕ; крАсивее; отсутствует
кухонный; кУхонный; кухОнный; кухоннЫй; -; отсутствует
ловка; ловкА; лОвка; -; -; отсутствует
мозаичный; мозаИчный; мОзаичный; мозАичный; мозаичнЫй; отсутствует
оптовый; оптОвый; Оптовый; оптовЫй; -; отсутствует
прозорливый; прозорлИвый; прОзорливый; прозОрливый; прозорливЫй; отсутствует
прозорлива; прозорлИва; прОзорлива; прозОрлива; прозорливА; отсутствует
сливовый; слИвовый; сливОвый; сливовЫй; -; отсутствует
брала; бралА; брАла; -; -; отсутствует
бралась; бралАсь; брАлась; -; -; отсутствует
взяла; взялА; взЯла; -; -; отсутствует
взялась; взялАсь; взЯлась; -; -; отсутствует
влилась; влилАсь; влИлась; -; -; отсутствует
ворвалась; ворвалАсь; вОрвалась; ворвАлась; -; отсутствует
воспринять; воспринЯть; вОспринять; воспрИнять; -; отсутствует
восприняла; воспринялА; вОсприняла; воспрИняла; воспринЯла; отсутствует
воссоздала; воссоздалА; вОссоздала; воссОздала; воссоздАла; отсутствует
вручит; вручИт; врУчит; -; -; отсутствует
гнала; гналА; гнАла; -; -; отсутствует
гналась; гналАсь; гнАлась; -; -; отсутствует
добрала; добралА; дОбрала; добрАла; -; отсутствует
добралась; добралАсь; дОбралась; добрАлась; -; отсутствует
дождалась; дождалАсь; дОждалась; дождАлась; -; отсутствует
дозвониться; дозвонИться; дОзвониться; дозвОниться; дозвонитьсЯ; отсутствует
дозировать; дозИровать; дОзировать; дозирОвать; дозировАть; отсутствует
ждала; ждалА; ждАла; -; -; отсутствует
жилось; жилОсь; жИлось; -; -; отсутствует
закупорить; закУпорить; зАкупорить; закупОрить; закупорИть; отсутствует
занять; занЯть; зАнять; -; -; отсутствует
занял; зАнял; занЯл; -; -; отсутствует
заняла; занялА; зАняла; занЯла; -; отсутствует
заняли; зАняли; занЯли; занялИ; -; отсутствует
заперла; заперлА; зАперла; запЕрла; -; отсутствует
