_битуриент; а; о; отсутствует
аб_туриент; и; е; отсутствует
абитур_ент; и; е; отсутствует
к_рдинально; а; о; отсутствует
кард_нально; и; е; отсутствует
п_литра; а; о; отсутствует
_брикосовый; а; о; отсутствует
к_сатка; а; о; ласточка
п_раграф; а; о; отсутствует
парагра_; ф; в ; отсутствует
_нтресоль; а; о; отсутствует
антр_соль; е; и; отсутствует
к_такомбы; а; о; отсутствует
кат_комбы; а; о; отсутствует
п_ликлиника; о; а; отсутствует
пол_клиника; и; е; отсутствует
_ппаратура; а; о; отсутствует
апп_ратура; а; о; отсутствует
а_аратура; пп; п; отсутствует
кв_лификация; а; о; отсутствует
квал_фикация; и; е; отсутствует
квалиф_кация; и; е; отсутствует
пр_ткновения; е; и; камень
_тмосферный; а; о; отсутствует
атм_сферный; о; а; отсутствует
кв_танция; и; е; отсутствует
пр_цедент; е; и; отсутствует
прец_дент; е; и; отсутствует
_ттракцион; а; о; отсутствует
аттр_кцион; а; о; отсутствует
а_ракцион; тт; т; отсутствует
к_нематограф; и; е; отсутствует
кин_матограф; е; и; отсутствует
кинем_тограф; а; о; отсутствует
пр_воцировать; о; а; отсутствует
пров_цировать; о; а; отсутствует
провоцир_вать; о; а; отсутствует
_рьергард; а; о; отсутствует
арь_ргард; е; и; отсутствует
к_мпетентный; о; а; отсутствует
комп_тентный; е; и; отсутствует
пр_ницательный; о; а; отсутствует
прон_цательный; и; е; отсутствует
б_зар; а; о; отсутствует
к_мпонент; о; а; отсутствует
комп_нент; о; а; отсутствует
р_жиссёр; е; и; отсутствует
реж_ссёр; и; е; отсутствует
режи_ёр; сс; с; отсутствует
р_жиссёрский; е; и; отсутствует
реж_ссёрский; и; е; отсутствует
режи_ёрский; сс; с; отсутствует
б_лкон; а; о; отсутствует
к_нтинент; о; а; отсутствует
конт_нент; и; е; отсутствует
с_лют; а; о; отсутствует
б_рельеф; а; о; отсутствует
бар_льеф; е; и; отсутствует
к_рифей; о; а; отсутствует
кор_фей; и; е; отсутствует
с_гнальный; и; е; отсутствует
баск_тбол; е; и; отсутствует
к_ричневый; о; а; отсутствует
спр_ведливый; а; о; отсутствует
справ_дливый; е; и; отсутствует
б_ссейн; а; о; отсутствует
к_сатка; о; а; плывущая под водой
тр_туар; о; а; отсутствует
в_нтилятор; е; и; отсутствует
вент_лятор; и; е; отсутствует
лаб_ринт; е; и; отсутствует
ун_чтожить; и; е; отсутствует
восп_ление; а; о; отсутствует
в_спаление; о; а; отсутствует
восп_лительный; а; о; отсутствует
л_леять; е; и; отсутствует
утр_мбовать; а; о; отсутствует
утрамб_вать; о; а; отсутствует
д_кламация; е; и; отсутствует
л_нгвистический; и; е; отсутствует
лингв_стический; и; е; отсутствует
ф_стиваль; е; и; отсутствует
фест_валь; и; е; отсутствует
д_ликатес; е; и; отсутствует
дел_катес; и; е; отсутствует
делик_тес; а; о; отсутствует
м_гучий; о; а; отсутствует
ш_ренга; е; и; отсутствует
ижд_венец; и; е; отсутствует
м_раторий; о; а; отсутствует
эксп_нат; о; а; отсутствует
инв_стиция; е; и; отсутствует
_ппонент; о; а; отсутствует
о_онент; пп; п; отсутствует
опп_нент; о; а; отсутствует
экстр_мальный; е; и; отсутствует
_нтенсивный; и; э; отсутствует
инт_нсивный; е; э; отсутствует
_ранжерея; о; а; отсутствует
оранж_рея; е; и; отсутствует
эст_када; а; о; отсутствует
иск_зить; а; о; отсутствует
ор_гинальный; и; е; отсутствует
_тикет; э; и; отсутствует
эт_кет; и; е; отсутствует
к_морка; а; о; отсутствует
_рнамент; о; а; отсутствует
к_нитель; а; о; отсутствует
кан_тель; и; е; отсутствует
_скорбление; о; а; отсутствует
оск_рбление; о; а; отсутствует
